--------------------------------------------------------------------------------
|
| SpringSource dm Server 
|
--------------------------------------------------------------------------------
[2009-02-23 15:21:45.578] nnection(4)-172.20.80.37                                          course_memcached_osgi-1 I Trace configuration: {*=INFO, com.springsource.server.*=WARN}
[2009-02-23 15:21:45.609] server-dm-7              pringframework.beans.factory.xml.XmlBeanDefinitionReader.unknown I Loading XML bean definitions from URL [bundleentry://124/META-INF/spring/spring.xml]
[2009-02-23 15:21:45.640] server-dm-7              ingsource.management.adapter.jmx.ManagedResourceExporter.unknown I Registered MBean: spring.application:application=course_memcached_osgi-1,type=ApplicationContext,name=GenericModuleOsgiBundleXmlApplicationContext(bundlecourse_memcached_osgi configosgibundle/META-INF/spring/.xml)
[2009-02-23 15:21:45.640] server-dm-7              ingsource.management.adapter.jmx.ManagedResourceExporter.unknown I Registered MBean: spring.application:application=course_memcached_osgi-1,type=BeanFactory,name=GenericModuleOsgiBundleXmlApplicationContext(bundlecourse_memcached_osgi configosgibundle/META-INF/spring/.xml).beanFactory
[2009-02-23 15:21:45.687] server-dm-7              ncies.startup.DependencyWaiterApplicationContextExecutor.unknown I No outstanding OSGi service dependencies, completing initialization for GenericModuleOsgiBundleXmlApplicationContext(bundle=course_memcached_osgi, config=osgibundle:/META-INF/spring/*.xml)
[2009-02-23 15:21:45.687] server-dm-5              amework.beans.factory.support.DefaultListableBeanFactory.unknown I Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@1a8bc4f: defining beans [org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,dataSource,sessionFactory,transactionManager,courseDao,myJobBean,myJob,myTrigger,org.springframework.scheduling.quartz.SchedulerFactoryBean#0,test]; root of factory hierarchy
[2009-02-23 15:21:45.750] server-dm-5                                 org.hibernate.cfg.annotations.Version.unknown I Hibernate Annotations 3.3.1.GA
[2009-02-23 15:21:45.750] server-dm-5                                         org.hibernate.cfg.Environment.unknown I Hibernate 3.2.6
[2009-02-23 15:21:45.765] server-dm-5                                         org.hibernate.cfg.Environment.unknown I hibernate.properties not found
[2009-02-23 15:21:45.765] server-dm-5                                         org.hibernate.cfg.Environment.unknown I Bytecode provider name : cglib
[2009-02-23 15:21:45.765] server-dm-5                                         org.hibernate.cfg.Environment.unknown I using JDK 1.4 java.sql.Timestamp handling
[2009-02-23 15:21:45.843] server-dm-5                                    org.hibernate.cfg.AnnotationBinder.unknown I Binding entity from annotated class: com.apress.springrecipes.course.Course
[2009-02-23 15:21:45.875] server-dm-5                            org.hibernate.cfg.annotations.EntityBinder.unknown I Bind entity com.apress.springrecipes.course.Course on table COURSE
[2009-02-23 15:21:45.906] server-dm-5                             org.hibernate.cfg.AnnotationConfiguration.unknown I Hibernate Validator not found: ignoring
[2009-02-23 15:21:45.906] server-dm-5              k.orm.hibernate3.annotation.AnnotationSessionFactoryBean.unknown I Building new Hibernate SessionFactory
[2009-02-23 15:21:45.937] server-dm-5                    org.hibernate.connection.ConnectionProviderFactory.unknown I Initializing connection provider: org.springframework.orm.hibernate3.LocalDataSourceConnectionProvider
[2009-02-23 15:21:46.093] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I RDBMS: HSQL Database Engine, version: 1.8.0
[2009-02-23 15:21:46.093] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I JDBC driver: HSQL Database Engine Driver, version: 1.8.0
[2009-02-23 15:21:46.093] server-dm-5                                         org.hibernate.dialect.Dialect.unknown I Using dialect: org.hibernate.dialect.HSQLDialect
[2009-02-23 15:21:46.109] server-dm-5                   org.hibernate.transaction.TransactionFactoryFactory.unknown I Transaction strategy: org.springframework.orm.hibernate3.SpringTransactionFactory
[2009-02-23 15:21:46.109] server-dm-5              rg.hibernate.transaction.TransactionManagerLookupFactory.unknown I No TransactionManagerLookup configured (in JTA environment, use of read-write or transactional second-level cache is not recommended)
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Automatic flush during beforeCompletion(): disabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Automatic session close at end of transaction: disabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I JDBC batch size: 15
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I JDBC batch updates for versioned data: disabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Scrollable result sets: enabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I JDBC3 getGeneratedKeys(): disabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Connection release mode: auto
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Default batch fetch size: 1
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Generate SQL with comments: disabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Order SQL updates by primary key: disabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Order SQL inserts for batching: disabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Query translator: org.hibernate.hql.ast.ASTQueryTranslatorFactory
[2009-02-23 15:21:46.109] server-dm-5                       org.hibernate.hql.ast.ASTQueryTranslatorFactory.unknown I Using ASTQueryTranslatorFactory
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Query language substitutions: {}
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I JPA-QL strict compliance: disabled
[2009-02-23 15:21:46.109] server-dm-5                                     org.hibernate.cfg.SettingsFactory.unknown I Second-level cache: enabled
